Url,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst-trainee/51862855?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Cardiff , South Glamorgan"
https://www.reed.co.uk/jobs/data-analyst-trainee/51879760?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Widmore , Kent"
https://www.reed.co.uk/jobs/data-analyst-trainee/51883723?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Birkenhead , Merseyside"
https://www.reed.co.uk/jobs/data-analyst-trainee/51896488?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Reading , Berkshire"
https://www.reed.co.uk/jobs/data-analyst-trainee/51923421?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Newport , Gwent"
https://www.reed.co.uk/jobs/data-analyst-trainee/51958154?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Derby , Derbyshire"
https://www.reed.co.uk/jobs/data-analyst-trainee/51924655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Ilford , Essex"
https://www.reed.co.uk/jobs/data-analyst-trainee/51961038?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Luton , Bedfordshire"
https://www.reed.co.uk/jobs/data-analyst-trainee/51961479?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Harrow On The Hill , Middlesex"
https://www.reed.co.uk/jobs/data-analyst-trainee/51962352?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,Data Analyst Trainee,"£30,000 - £50,000 per annum",Permanent,full-time,"Crayford , Kent"
